mass	u2	HNL	total	meson_widthT	meson_BR	HNL_widthT	HNL_BR	POT
0.246	1e-06	0.000588074	1.79508e-06	4.96132e-20	0.967897	2.09954e-22	0.0686055	2.5e+08
0.3	1e-06	0.00359508	1.09605e-05	4.70086e-20	0.0479048	8.34971e-22	0.422254	2.5e+08
0.328	1e-06	0.00573355	1.75078e-05	4.5457e-20	0.942194	1.31787e-21	0.464651	2.5e+08
0.358	1e-06	0.0095837	2.90196e-05	4.38156e-20	0.931793	1.98405e-21	0.487941	2.5e+08
0.391	1e-06	0.0163807	4.9942e-05	4.18764e-20	0.917492	2.91942e-21	0.49986	2.5e+08
0.428	1e-06	0.0273639	8.34296e-05	3.96848e-20	0.89799	4.25856e-21	0.503644	2.5e+08
0.467	1e-06	0.0399279	0.000120771	3.73631e-20	0.875688	6.05576e-21	0.501192	2.5e+08
0.51	1e-06	0.064409	0.00019315	3.47936e-20	0.844484	8.57425e-21	0.493792	2.5e+08
0.558	1e-06	0.108639	0.000329142	3.2024e-20	0.807081	1.21728e-20	0.481845	2.5e+08
0.609	1e-06	0.170227	0.000514851	2.91795e-20	0.757476	1.71731e-20	0.464028	2.5e+08
0.666	1e-06	0.260108	0.000788156	2.62044e-20	0.692169	2.45445e-20	0.440506	2.5e+08
0.727	1e-06	0.371048	0.00113347	2.3289e-20	0.608261	3.48656e-20	0.415395	2.5e+08
0.774	1e-06	0.503602	0.00152834	2.12533e-20	0.538554	4.48463e-20	0.396711	2.5e+08
0.776	1e-06	0.516608	0.00155583	2.11648e-20	0.463246	4.53146e-20	0.395921	2.5e+08
0.795	1e-06	0.634054	0.00192733	2.0426e-20	0.511651	5.00188e-20	0.388094	2.5e+08
0.868	1e-06	0.831977	0.00254249	1.78732e-20	0.615062	7.2614e-20	0.354959	2.5e+08
0.88	1e-06	0.950242	0.00286175	1.75045e-20	0.634463	7.70469e-20	0.349579	2.5e+08
0.882	1e-06	0.944364	0.0028664	1.74474e-20	0.360236	7.94439e-20	0.341499	2.5e+08
0.949	1e-06	1.62268	0.00491887	1.56521e-20	0.748075	1.28021e-19	0.267573	2.5e+08
1.018	1e-06	2.23715	0.00676111	1.42194e-20	0.846785	1.89722e-19	0.225361	2.5e+08
1.02	1e-06	2.60248	0.00786158	1.41817e-20	0.148415	1.91864e-19	0.224227	2.5e+08
1.037	1e-06	2.82527	0.00859005	1.3882e-20	0.871787	2.10545e-19	0.215232	2.5e+08
1.058	1e-06	3.22627	0.00979859	1.35436e-20	0.10211	2.3492e-19	0.205427	2.5e+08
1.132	1e-06	4.62281	0.0140152	1.25347e-20	0.962396	3.29713e-19	0.180818	2.5e+08
1.237	1e-06	7.75811	0.0236872	1.13189e-20	0.9985	5.14123e-19	0.152765	2.5e+08
1.352	1e-06	14.5228	0.0444491	9.6663e-21	1.0001	8.01882e-19	0.128897	2.5e+08
1.41	1e-06	18.2901	0.0559275	8.5514e-21	1.0001	9.89174e-19	0.118917	2.5e+08
1.477	1e-06	23.2865	0.0716222	7.0713e-21	1.0001	1.24737e-18	0.108757	2.5e+08
1.499	1e-06	25.0504	0.0770604	6.5506e-21	1.0001	1.34297e-18	0.105699	2.5e+08
1.587	1e-06	32.2057	0.0993024	4.374e-21	1.0001	1.78562e-18	0.094673	2.5e+08
1.614	1e-06	34.376	0.10579	3.6996e-21	1.0001	1.94254e-18	0.0916326	2.5e+08
1.675	1e-06	37.4475	0.114652	2.2229e-21	1.0001	2.34276e-18	0.0850962	2.5e+08
1.745	1e-06	41.3748	0.127562	6.5525e-22	1.0001	2.8747e-18	0.0785717	2.5e+08
1.763	1e-06	42.7189	0.133394	7.6333e-23	1.0001	3.02595e-18	0.0770171	2.5e+08
